60;0;Planta Fotovoltaica La Esperanza;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130697639&modo=ficha;0;6.Sexta;Cardenal Caro-Cachapoal-Colchagua;Marchihue;.;.;.;.;GR Araucaria SpA;18;9;Central fotovoltaica;Línea de transmisión;Sin información;Sin información;1;1;20-08-2015;Segundo trimestre;2015;Aprobado;18-02-2016;Primer trimestre;2016;-34,33725704;-71,54088586;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
61;0;Planta Fotovoltaica Marchigüe;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130702893&modo=ficha;0;6.Sexta;Cardenal Caro-Cachapoal-Colchagua;Marchihue;.;.;.;.;GR CANELO SpA;18;9;Central fotovoltaica;Línea de transmisión;Sin información;Sin información;1;1;20-08-2015;Segundo trimestre;2015;Aprobado;18-02-2016;Primer trimestre;2016;-34,4041839;-71,66501734;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
62;0;Modificación Línea de Transmisión Eléctrica Cerro Pabellón;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130712979&modo=ficha;0;2.Segunda;Tocopilla-El Loa-Antofagasta;Calama;.;.;.;.;GEOTERMICA DEL NORTE S.A.;6;0;Modificación;Línea de transmisión;Sin información;Sin información;99;1;18-08-2015;Segundo trimestre;2015;Aprobado;26-01-2016;Primer trimestre;2016;-21,9690349;-68,70953152;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
63;0;Modificación Trazado Línea de Flujo Lircay Oeste ZG-1;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130711765&modo=ficha;0;12.Duodécima;Ultima Espe.-Magallanes-Tierra Fuego-Antartida;Primavera;.;.;.;.;Empresa Nacional del Petróleo - Magallanes;0,85;0;Modificación;Línea de flujo/Gasoducto;Sin información;Sin información;99;1;18-08-2015;Segundo trimestre;2015;Aprobado;04-11-2015;Tercer trimestre;2015;-52,86169184;-69,69913959;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
65;0;Subestación Seccionadora Lota;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130631683&modo=ficha;0;8.Octava;Ñuble-Concepción-Bío Bío-Arauco;Coronel-Lota;.;.;.;.;TRANSNET S.A.;1,863409;0;Modificación;Tap-off;Sin información;Sin información;99;1;21-07-2015;Segundo trimestre;2015;Aprobado;05-02-2016;Primer trimestre;2016;-37,09783251;-73,14687704;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
67;0;Nuevo Transformador 154/66 kV S/E San Fernando;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130589834&modo=ficha;0;6.Sexta;Cardenal Caro-Cachapoal-Colchagua;San Fernando;.;.;.;.;TRANSNET S.A.;1,7;0;Modificación;Subestación;Sin información;Sin información;99;1;20-07-2015;Segundo trimestre;2015;Aprobado;11-11-2015;Tercer trimestre;2015;-34,5964858;-70,98324155;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
69;0;Trazado de Línea de Alta Tensión y Subestación, Área Faena Mina;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130631277&modo=ficha;0;2.Segunda;Tocopilla-El Loa-Antofagasta;Antofagasta;.;.;.;.;MINERA ESCONDIDA LIMITADA;13,2;0;Línea de transmisión;Subestación;Sin información;Sin información;99;1;17-07-2015;Segundo trimestre;2015;Aprobado;26-01-2016;Primer trimestre;2016;-24,33271174;-69,04799509;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
71;0;Proyecto Subestación Hades y Línea de Seccionamiento en Alta Tensión 2x220 kV;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130562843&modo=ficha;0;2.Segunda;Tocopilla-El Loa-Antofagasta;Antofagasta;.;.;.;.;Domeyko Oeste Cinco SpA;20,225;0;Subestación;Línea de transmisión;Sin información;Sin información;99;1;17-07-2015;Segundo trimestre;2015;Aprobado;25-01-2016;Primer trimestre;2016;-24,0454572;-69,58256336;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
74;182;Conexión Cardones;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130564651&modo=ficha;0;3.Tercera;Chaqaral-Copiapó-Huasco;Copiapó;.;.;.;.;Transmisora Eléctrica del Norte S.A.;84;0;Línea de transmisión;Subestación;Sin información;Sin información;99;2;22-06-2015;Segundo trimestre;2015;Aprobado;11-09-2015;Tercer trimestre;2015;-27,51455434;-70,42270361;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
75;0;Aumento de capacidad de Línea Maitencillo Cardones 1x220 kV;http://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2130547378&modo=ficha;0;3.Tercera;Chaqaral-Copiapó-Huasco;Copiapó-Freirina-Vallenar;.;.;.;.;TRANSELEC S.A.;3,9;0;Modificación;Línea de transmisión;Sin información;Sin información;99;1;22-06-2015;Segundo trimestre;2015;Aprobado;18-02-2016;Primer trimestre;2016;-28,51640359;-70,89071993;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
